Segment,Country,Product,Discount Band,Units Sold,Procurement,Manufacturing Price Parsed,Sale Price Parsed,Budget Parsed,Discounts Parsed,Sales Parsed,COGS Parsed,Sales_MA_3,Date_ISO
Midmarket,France,VTT,None,2178,10890,250,15,32670,0,32670,21780,150429,2020-01-17
Small Business,Germany,Montana,Low,2021,252625,5,300,606300,24252,582048,505250,292429,2020-01-17
Government,United States of America,VTT,Medium,1265,6325,250,20,25300,1265,24035,12650,212918,2020-01-17
Channel Partners,Canada,Carretera,Medium,2299,3448,3,12,27588,1655,25932,6897,210672,2020-01-17
Small Business,Mexico,Amarilla,Medium,635,79375,260,300,190500,15240,175260,158750,75076,2020-01-17
Government,Canada,Amarilla,Medium,1135,2837,260,7,7945,556,7388,5675,69527,2020-01-17
Government,Mexico,Paseo,Medium,1362,177060,10,350,476700,38136,438564,354120,207071,2020-01-18
Enterprise,Mexico,Paseo,Medium,1114,66840,10,125,139250,11140,128110,133680,191354,2020-01-19
Small Business,Canada,VTT,Low,1874,234250,250,300,562200,16866,545334,468500,370669,2020-01-19
Government,France,Amarilla,Low,941,4705,260,20,18820,376,18443,9410,230629,2020-01-20
Government,France,Paseo,Low,1030,2575,10,7,7210,72,7137,5150,190305,2020-01-20
Government,Germany,Paseo,High,1531,7655,10,20,30620,3674,26945,15310,17508,2020-01-20
Enterprise,Mexico,Paseo,Low,662,39720,10,125,82750,1655,81095,79440,38392,2020-01-21
Midmarket,Canada,Paseo,Low,2363,11815,10,15,35445,708,34736,23630,47592,2020-01-21
Government,United States of America,Carretera,Low,274,35620,3,350,95900,3836,92064,71240,69298,2020-01-21
Midmarket,Canada,Amarilla,High,1743,8715,260,15,26145,3660,22484,17430,49761,2020-01-21
Government,France,VTT,Medium,574,74685,250,350,201075,16086,184989,149370,99846,2020-01-22
Government,Mexico,Velo,High,905,4525,120,20,18100,2172,15928,9050,74467,2020-01-22
Government,Canada,Amarilla,Low,1778,231140,260,350,622300,24892,597408,462280,266108,2020-01-22
Midmarket,France,Paseo,None,549,2745,10,15,8235,0,8235,5490,207190,2020-01-23
Government,Canada,Montana,Medium,708,3540,5,20,14160,1132,13027,7080,206223,2020-01-23
Small Business,France,Montana,High,1773,221625,5,300,531900,63828,468072,443250,163111,2020-01-23
Channel Partners,United States of America,Amarilla,High,2914,4371,260,12,34968,4895,30072,8742,170390,2020-01-23
Government,Mexico,Velo,Medium,1333,3332,120,7,9331,559,8771,6665,168972,2020-01-24
Government,Germany,Carretera,Low,2580,12900,3,20,51600,1548,50052,25800,29632,2020-01-24
Government,United States of America,VTT,High,267,1335,250,20,5340,801,4539,2670,21121,2020-01-24
Enterprise,Germany,Velo,Medium,2087,125220,120,125,260875,18261,242613,250440,99068,2020-01-24
Government,Mexico,Carretera,Medium,1834,9170,3,20,36680,2567,34112,18340,93755,2020-01-25
Midmarket,Canada,Carretera,Medium,2844,14220,3,15,42660,2559,40100,28440,105608,2020-01-25
Government,Mexico,Paseo,Medium,1946,4865,10,7,13622,1089,12532,9730,28915,2020-01-25
Midmarket,Mexico,Paseo,Low,1514,7570,10,15,22710,908,21801,15140,24811,2020-01-25
Government,Canada,VTT,Low,1326,3315,250,7,9282,92,9189,6630,14507,2020-01-26
Enterprise,France,Carretera,High,1023,61380,3,125,127875,17902,109972,122760,46987,2020-01-27
Midmarket,France,VTT,High,3874,19372,250,15,58117,6974,51143,38745,56768,2020-01-27
Enterprise,Mexico,Carretera,High,2821,169260,3,125,352625,49367,303257,338520,154791,2020-01-27
Small Business,United States of America,VTT,High,2541,317625,250,300,762300,106722,655578,635250,336659,2020-01-27
Government,Canada,Paseo,Medium,2349,5872,10,7,16443,822,15620,11745,324818,2020-01-27
Government,Canada,VTT,Low,943,122655,250,350,330225,3302,326922,245310,332707,2020-01-28
Government,France,Amarilla,Medium,1403,3507,260,7,9821,589,9231,7015,117258,2020-01-28
Government,Canada,Montana,High,388,970,5,7,2716,380,2335,1940,112829,2020-01-29
Channel Partners,Mexico,Carretera,Medium,727,1090,3,12,8724,610,8113,2181,6560,2020-01-29
Government,France,Carretera,Medium,2487,6217,3,7,17409,870,16538,12435,8995,2020-01-29
Small Business,Canada,Paseo,High,873,109125,10,300,261900,28809,233091,218250,85914,2020-01-29
Midmarket,Mexico,Paseo,Low,1514,7570,10,15,22710,908,21801,15140,90477,2020-01-29
Midmarket,Germany,Montana,None,921,4605,5,15,13815,0,13815,9210,89569,2020-01-30
Government,Mexico,Montana,High,2420,6050,5,7,16940,2032,14907,12100,16841,2020-01-30
Government,France,Amarilla,High,1731,4327,260,7,12117,1696,10420,8655,13047,2020-01-31
Channel Partners,United States of America,Carretera,Low,1947,2920,3,12,23364,700,22663,5841,15997,2020-02-01
Government,Germany,Paseo,High,357,46410,10,350,124950,16243,108706,92820,47263,2020-02-01
Government,France,Carretera,High,2521,12607,3,20,50430,6051,44378,25215,58582,2020-02-01
Government,Germany,Carretera,None,1321,6605,3,20,26420,0,26420,13210,59835,2020-02-01
Small Business,Mexico,Montana,Medium,1100,137500,5,300,330000,16500,313500,275000,128099,2020-02-01
Channel Partners,Mexico,Montana,Low,690,1035,5,12,8280,165,8114,2070,116011,2020-02-01
Government,United States of America,Carretera,High,1743,8715,3,20,34860,4880,29979,17430,117198,2020-02-01
Enterprise,France,Montana,Medium,1857,111420,5,125,232125,20891,211233,222840,83109,2020-02-02
Government,Mexico,VTT,High,1233,6165,250,20,24660,2959,21700,12330,87637,2020-02-02
Government,Mexico,VTT,Medium,1498,3745,250,7,10486,629,9856,7490,80930,2020-02-02
Channel Partners,United States of America,VTT,High,1806,2709,250,12,21672,3250,18421,5418,16659,2020-02-03
Government,United States of America,Amarilla,High,270,35100,260,350,94500,11340,83160,70200,37146,2020-02-03
Enterprise,United States of America,Velo,Low,663,39780,120,125,82875,828,82046,79560,61209,2020-02-03
Government,Germany,Paseo,Medium,360,900,10,7,2520,226,2293,1800,55833,2020-02-03
Channel Partners,United States of America,Amarilla,None,1953,2929,260,12,23436,0,23436,5859,35925,2020-02-04
Government,Canada,Montana,High,200,26000,5,350,70000,9800,60200,52000,28643,2020-02-04
Midmarket,Germany,Amarilla,Medium,970,4850,260,15,14550,1309,13240,9700,32292,2020-02-04
Small Business,Canada,Paseo,High,1366,170750,10,300,409800,45078,364722,341500,146054,2020-02-05
Government,France,Paseo,High,1731,4327,10,7,12117,1696,10420,8655,129461,2020-02-05
Midmarket,France,Paseo,Low,2296,11480,10,15,34440,344,34095,22960,136412,2020-02-06
Government,France,Paseo,Medium,1031,2577,10,7,7217,505,6711,5155,17075,2020-02-06
Government,United States of America,Amarilla,High,270,35100,260,350,94500,11340,83160,70200,41322,2020-02-06
Enterprise,United States of America,Montana,High,1804,108240,5,125,225500,22550,202950,216480,97607,2020-02-06
Government,France,Velo,High,1190,2975,120,7,8330,1082,7247,5950,97786,2020-02-06
Government,United States of America,Velo,High,606,3030,120,20,12120,1696,10423,6060,73540,2020-02-06
Small Business,United States of America,VTT,Low,2844,355500,250,300,853200,25596,827604,711000,281758,2020-02-07
Small Business,Canada,Velo,Medium,3793,474187,120,300,1138050,102424,1035625,948375,624551,2020-02-07
Enterprise,United States of America,Carretera,High,3445,206730,3,125,430687,43068,387618,413460,750282,2020-02-07
Government,France,Montana,Medium,1976,9880,5,20,39520,2766,36753,19760,486665,2020-02-07
Government,France,Paseo,Medium,2136,5340,10,7,14952,747,14204,10680,146192,2020-02-07
Government,Mexico,VTT,High,2903,7257,250,7,20321,2844,17476,14515,22811,2020-02-07
Enterprise,United States of America,Velo,Medium,861,51660,120,125,107625,5381,102243,103320,44641,2020-02-08
Enterprise,Mexico,Montana,Low,1138,68280,5,125,142250,5690,136560,136560,85426,2020-02-08
Midmarket,Canada,Amarilla,Medium,1630,8152,260,15,24457,2201,22256,16305,87020,2020-02-09
Channel Partners,France,Amarilla,High,1393,2089,260,12,16716,2340,14375,4179,57730,2020-02-09
Government,Germany,Amarilla,Medium,1350,175500,260,350,472500,23625,448875,351000,161835,2020-02-09
Enterprise,Germany,Carretera,High,1085,65100,3,125,135625,20343,115281,130200,192844,2020-02-09
Midmarket,Mexico,Velo,High,655,3275,120,15,9825,1080,8744,6550,190967,2020-02-09
Enterprise,United States of America,Amarilla,High,579,34740,260,125,72375,7237,65137,69480,63054,2020-02-09
Midmarket,Germany,Montana,None,921,4605,5,15,13815,0,13815,9210,29232,2020-02-09
Government,Canada,Paseo,None,1725,224250,10,350,603750,0,603750,448500,227567,2020-02-09
Channel Partners,United States of America,Carretera,Low,1947,2920,3,12,23364,700,22663,5841,213409,2020-02-09
Enterprise,United States of America,Montana,Medium,3627,217620,5,125,453375,22668,430706,435240,352373,2020-02-10
Government,Canada,Montana,High,2734,6835,5,7,19138,2296,16841,13670,156737,2020-02-10
Government,Mexico,Carretera,Medium,1362,177060,3,350,476700,38136,438564,354120,295370,2020-02-10
Enterprise,United States of America,Amarilla,High,579,34740,260,125,72375,7237,65137,69480,173514,2020-02-10
Channel Partners,Mexico,Paseo,Medium,367,550,10,12,4404,396,4007,1101,169236,2020-02-10
Government,United States of America,Paseo,Low,274,35620,10,350,95900,3836,92064,71240,53736,2020-02-11
Government,Germany,Paseo,Medium,1598,3995,10,7,11186,894,10291,7990,35454,2020-02-11
Government,Mexico,Velo,Low,362,905,120,7,2534,25,2508,1810,34954,2020-02-11
Small Business,France,VTT,Medium,959,119875,250,300,287700,20139,267561,239750,93453,2020-02-11
Government,France,Velo,High,2805,14025,120,20,56100,6171,49929,28050,106666,2020-02-11
Government,Germany,Paseo,High,357,46410,10,350,124950,16243,108706,92820,142065,2020-02-11
Small Business,Mexico,Carretera,High,801,100125,3,300,240300,33642,206658,200250,121764,2020-02-12
Small Business,United States of America,VTT,Medium,1867,233375,250,300,560100,50409,509691,466750,275018,2020-02-12
Government,Canada,Velo,Medium,1135,2837,120,7,7945,556,7388,5675,241246,2020-02-12
Channel Partners,Mexico,Velo,High,410,615,120,12,4920,639,4280,1230,173786,2020-02-12
Enterprise,Germany,Velo,Medium,807,48420,120,125,100875,5043,95831,96840,35833,2020-02-13
Government,Canada,Paseo,Medium,1228,159640,10,350,429800,21490,408310,319280,169474,2020-02-13
Government,United States of America,Velo,Medium,547,1367,120,7,3829,268,3560,2735,169234,2020-02-13
Government,Canada,Amarilla,High,2240,291200,260,350,784000,78400,705600,582400,372490,2020-02-13
Government,France,Velo,Low,639,1597,120,7,4473,44,4428,3195,237863,2020-02-14
Midmarket,United States of America,Amarilla,High,3199,15997,260,15,47992,5279,42713,31995,250914,2020-02-14
Enterprise,Canada,Paseo,Low,2729,163740,10,125,341125,6822,334302,327480,127148,2020-02-14
Small Business,France,Montana,High,1186,148250,5,300,355800,42696,313104,296500,230040,2020-02-14
Midmarket,Germany,Paseo,Low,747,3735,10,15,11205,112,11092,7470,219499,2020-02-15
Small Business,United States of America,Montana,Low,2301,287625,5,300,690300,6903,683397,575250,335864,2020-02-15
Enterprise,Germany,Montana,Medium,2500,150000,5,125,312500,21875,290625,300000,328371,2020-02-15
Small Business,Mexico,Amarilla,High,546,68250,260,300,163800,24570,139230,136500,371084,2020-02-15
Government,Mexico,Velo,High,905,4525,120,20,18100,2172,15928,9050,148594,2020-02-15
Midmarket,Canada,Paseo,Low,2363,11815,10,15,35445,708,34736,23630,63298,2020-02-15
Government,Germany,Carretera,Medium,663,3315,3,20,13260,1193,12066,6630,20910,2020-02-15
Channel Partners,France,Paseo,Low,1785,2677,10,12,21420,428,20991,5355,22598,2020-02-15
Government,Mexico,Amarilla,High,2629,13145,260,20,52580,5783,46796,26290,26618,2020-02-16
Government,United States of America,VTT,Medium,2663,13315,250,20,53260,2663,50597,26630,39461,2020-02-16
Channel Partners,Mexico,Paseo,High,571,856,10,12,6852,890,5961,1713,34451,2020-02-16
Government,France,VTT,High,1281,166530,250,350,448350,62769,385581,333060,147380,2020-02-16
Government,France,VTT,Medium,2487,6217,250,7,17409,870,16538,12435,136027,2020-02-16
Small Business,Germany,Carretera,Low,2021,252625,3,300,606300,24252,582048,505250,328056,2020-02-17
Government,United States of America,Carretera,Low,274,35620,3,350,95900,3836,92064,71240,230217,2020-02-17
Government,Germany,Paseo,High,241,1205,10,20,4820,482,4338,2410,226150,2020-02-17
Government,Canada,VTT,Medium,1582,3955,250,7,11074,775,10298,7910,35567,2020-02-17
Enterprise,Mexico,Montana,Low,1138,68280,5,125,142250,5690,136560,136560,50399,2020-02-17
Channel Partners,France,VTT,High,1734,2601,250,12,20808,2288,18519,5202,55126,2020-02-17
Government,Canada,Velo,Medium,1582,3955,120,7,11074,775,10298,7910,55126,2020-02-19
Government,Germany,Montana,High,766,99580,5,350,268100,29491,238609,199160,89142,2020-02-19
Government,France,Montana,None,1899,9495,5,20,37980,0,37980,18990,95629,2020-02-19
Government,France,Velo,Medium,2076,269880,120,350,726600,43596,683004,539760,319864,2020-02-19
Government,Germany,Paseo,High,2708,13540,10,20,54160,7040,47119,27080,256034,2020-02-19
Government,Mexico,Paseo,High,2151,279630,10,350,752850,112927,639922,559260,456682,2020-02-19
Enterprise,Germany,Paseo,Medium,3513,210780,10,125,439125,30738,408386,421560,365142,2020-02-20
Government,Canada,Paseo,High,2394,11970,10,20,47880,5266,42613,23940,363640,2020-02-20
Government,Germany,Paseo,Medium,1934,9670,10,20,38680,3094,35585,19340,162195,2020-02-20
Government,France,Velo,High,639,83070,120,350,223650,22365,201285,166140,93161,2020-02-20
Small Business,France,Montana,High,1186,148250,5,300,355800,42696,313104,296500,183325,2020-02-20
Government,Germany,Paseo,Medium,1372,3430,10,7,9604,480,9123,6860,174504,2020-02-20
Channel Partners,Mexico,Amarilla,High,410,615,260,12,4920,639,4280,1230,108836,2020-02-20
Enterprise,Germany,Amarilla,None,4219,253170,260,125,527437,0,527437,506340,180280,2020-02-20
Midmarket,United States of America,Paseo,Medium,2198,10990,10,15,32970,1978,30991,21980,187569,2020-02-20
Government,Germany,Montana,Medium,1460,189800,5,350,511000,30660,480340,379600,346256,2020-02-21
Midmarket,United States of America,Paseo,Medium,3675,18375,10,15,55125,4961,50163,36750,187165,2020-02-21
Channel Partners,Mexico,Montana,Low,690,1035,5,12,8280,165,8114,2070,179539,2020-02-21
Channel Partners,Germany,Amarilla,High,2574,3861,260,12,30888,3088,27799,7722,28692,2020-02-21
Government,France,Paseo,Medium,1303,6515,10,20,26060,1303,24757,13030,20223,2020-02-22
Midmarket,United States of America,VTT,High,2567,12835,250,15,38505,5005,33499,25670,28685,2020-02-23
Small Business,United States of America,VTT,High,2541,317625,250,300,762300,106722,655578,635250,237945,2020-02-23
Enterprise,Mexico,Velo,High,1575,94500,120,125,196875,27562,169312,189000,286130,2020-02-23
Small Business,Mexico,Amarilla,Medium,2460,307500,260,300,738000,59040,678960,615000,501283,2020-02-23
Midmarket,Mexico,Paseo,High,380,1900,10,15,5700,684,5016,3800,284429,2020-02-24
Small Business,Germany,Velo,High,2536,317000,120,300,760800,106512,654288,634000,446088,2020-02-24
Midmarket,France,Paseo,Medium,2620,13100,10,15,39300,1965,37335,26200,232213,2020-02-24
Enterprise,Germany,Velo,Medium,807,48420,120,125,100875,5043,95831,96840,262485,2020-02-24
Government,Canada,Paseo,High,700,91000,10,350,245000,34300,210700,182000,114622,2020-02-24
Small Business,United States of America,Paseo,Low,2918,364750,10,300,875400,35016,840384,729500,382305,2020-02-24
Small Business,Mexico,Velo,Medium,635,79375,120,300,190500,15240,175260,158750,408781,2020-02-25
Channel Partners,France,Velo,Medium,1967,2950,120,12,23604,2124,21479,5901,345708,2020-02-25
Channel Partners,France,Paseo,Low,1055,1582,10,12,12660,253,12406,3165,69715,2020-02-26
Government,Canada,Carretera,High,923,119990,3,350,323050,41996,281053,239980,104979,2020-02-26
Enterprise,Germany,Carretera,High,2767,166020,3,125,345875,51881,293993,332040,195817,2020-02-27
Enterprise,United States of America,Paseo,Medium,2797,167820,10,125,349625,31466,318158,335640,297735,2020-02-27
Enterprise,Mexico,Carretera,Medium,1540,92400,3,125,192500,15400,177100,184800,263084,2020-02-27
Government,Mexico,Montana,Medium,980,127400,5,350,343000,20580,322420,254800,272559,2020-02-27
Small Business,Germany,Carretera,Low,214,26750,3,300,64200,1284,62916,53500,187479,2020-02-28
Government,United States of America,Velo,Medium,602,78260,120,350,210700,10535,200165,156520,195167,2020-02-28
Government,Mexico,Amarilla,Medium,1694,8470,260,20,33880,3049,30830,16940,97970,2020-02-28
Enterprise,Canada,Amarilla,High,1659,99540,260,125,207375,26958,180416,199080,137137,2020-02-28
Government,France,Velo,High,639,83070,120,350,223650,22365,201285,166140,137510,2020-02-29
Channel Partners,United States of America,Velo,High,914,1371,120,12,10968,1645,9322,2742,130341,2020-02-29
Government,Mexico,Paseo,High,2535,6337,10,7,17745,2661,15083,12675,75230,2020-02-29
Channel Partners,Mexico,Velo,High,500,750,120,12,6000,900,5100,1500,9835,2020-02-29
Government,France,Velo,Medium,1976,9880,120,20,39520,2766,36753,19760,18979,2020-02-29
Government,Canada,Amarilla,Medium,1228,159640,260,350,429800,21490,408310,319280,150054,2020-02-29
Government,Germany,Montana,Low,1958,4895,5,7,13706,411,13294,9790,152786,2020-02-29
Small Business,United States of America,Carretera,High,1010,126250,3,300,303000,42420,260580,252500,227395,2020-02-29
Channel Partners,Mexico,Velo,High,500,750,120,12,6000,900,5100,1500,92991,2020-02-29
Government,France,VTT,Low,2177,283010,250,350,761950,30478,731472,566020,332384,2020-03-01
Small Business,France,Montana,Medium,1562,195250,5,300,468600,37488,431112,390500,389228,2020-03-01
Channel Partners,Mexico,Amarilla,Medium,1375,2062,260,12,16500,1320,15180,4125,392588,2020-03-01
Small Business,France,Velo,High,853,106625,120,300,255900,25590,230310,213250,225534,2020-03-01
Government,Canada,Velo,Low,3850,19252,120,20,77010,2310,74699,38505,106730,2020-03-02
Government,Canada,Paseo,Medium,257,642,10,7,1799,143,1655,1285,102221,2020-03-02
Midmarket,United States of America,Paseo,Low,1925,9625,10,15,28875,577,28297,19250,34884,2020-03-02
Government,France,VTT,High,1491,3727,250,7,10437,1252,9184,7455,13045,2020-03-02
Government,France,Velo,Medium,1496,194480,120,350,523600,31416,492184,388960,176555,2020-03-02
Government,United States of America,Paseo,Low,2013,5032,10,7,14091,281,13809,10065,171726,2020-03-03
Government,Germany,Montana,High,766,99580,5,350,268100,29491,238609,199160,248201,2020-03-03
Government,United States of America,Montana,High,2996,7490,5,7,20972,2936,18035,14980,90151,2020-03-03
Government,United States of America,VTT,Medium,436,2182,250,20,8730,698,8031,4365,88225,2020-03-04
Small Business,United States of America,Paseo,Low,2905,363125,10,300,871500,8715,862785,726250,296284,2020-03-04
Channel Partners,Mexico,Montana,Low,690,1035,5,12,8280,165,8114,2070,292977,2020-03-05
Government,Mexico,Amarilla,Medium,1679,218270,260,350,587650,35259,552391,436540,474430,2020-03-05
Midmarket,Mexico,Paseo,High,1984,9920,10,15,29760,3273,26486,19840,195664,2020-03-05
Government,United States of America,Paseo,None,1143,2857,10,7,8001,0,8001,5715,195626,2020-03-06
Government,France,Carretera,Medium,1563,7815,3,20,31260,1563,29697,15630,21395,2020-03-06
Government,Canada,VTT,High,865,4327,250,20,17310,2596,14713,8655,17470,2020-03-06
Government,France,Amarilla,None,2750,357500,260,350,962500,0,962500,715000,335637,2020-03-06
Small Business,France,Montana,Medium,322,40250,5,300,96600,8694,87906,80500,355040,2020-03-06
Small Business,Germany,Montana,Low,2021,252625,5,300,606300,24252,582048,505250,544151,2020-03-06
Midmarket,United States of America,Amarilla,None,615,3075,260,15,9225,0,9225,6150,226393,2020-03-07
Enterprise,Canada,Paseo,Low,2729,163740,10,125,341125,6822,334302,327480,308525,2020-03-07
Channel Partners,Canada,Montana,None,2518,3777,5,12,30216,0,30216,7554,124581,2020-03-08
Channel Partners,France,Montana,Medium,2342,3513,5,12,28104,1967,26136,7026,130218,2020-03-08
Enterprise,France,Paseo,Low,787,47220,10,125,98375,983,97391,94440,51248,2020-03-08
Midmarket,Canada,Montana,Low,1967,9835,5,15,29505,1180,28324,19670,50617,2020-03-08
Government,Canada,Amarilla,High,707,91910,260,350,247450,24745,222705,183820,116140,2020-03-09
Government,Canada,Carretera,Low,831,4155,3,20,16620,498,16121,8310,89050,2020-03-10
Government,United States of America,Paseo,Low,274,35620,10,350,95900,3836,92064,71240,110297,2020-03-10
Channel Partners,Mexico,Montana,High,2661,3991,5,12,31932,3831,28100,7983,45428,2020-03-10
Channel Partners,Mexico,Carretera,Medium,367,550,3,12,4404,396,4007,1101,41390,2020-03-10
Government,Germany,Carretera,Low,2580,12900,3,20,51600,1548,50052,25800,27386,2020-03-10
Enterprise,Canada,Paseo,Low,1774,106440,10,125,221750,6652,215097,212880,89719,2020-03-11
Government,Germany,Carretera,Medium,1016,2540,3,7,7112,355,6756,5080,90635,2020-03-11
Government,United States of America,Carretera,Medium,1117,5587,3,20,22350,1341,21009,11175,80954,2020-03-11
Government,Canada,Amarilla,Low,1778,231140,260,350,622300,24892,597408,462280,208391,2020-03-11
Government,France,VTT,Medium,2682,13410,250,20,53640,4827,48812,26820,222410,2020-03-11
Small Business,Mexico,VTT,Medium,2747,343375,250,300,824100,57687,766413,686750,470878,2020-03-12
Small Business,Germany,Paseo,Low,689,86125,10,300,206700,6201,200499,172250,338575,2020-03-13
Government,Canada,Montana,Low,2851,7127,5,7,19957,798,19158,14255,328690,2020-03-13
Small Business,France,Carretera,Medium,2181,272625,3,300,654300,45801,608499,545250,276052,2020-03-13
Channel Partners,United States of America,Paseo,High,2914,4371,10,12,34968,4895,30072,8742,219243,2020-03-13
Small Business,Germany,Paseo,Low,1728,216000,10,300,518400,10368,508032,432000,382201,2020-03-13
Government,Germany,Paseo,None,1006,130780,10,350,352100,0,352100,261560,296735,2020-03-14
Government,Canada,Paseo,None,1725,224250,10,350,603750,0,603750,448500,487961,2020-03-15
Government,Mexico,Velo,High,344,44720,120,350,120400,13244,107156,89440,354335,2020-03-15
Government,United States of America,Velo,Medium,1421,7105,120,20,28420,1989,26430,14210,245779,2020-03-16
Government,Mexico,VTT,High,2903,7257,250,7,20321,2844,17476,14515,50354,2020-03-16
Channel Partners,Germany,Paseo,Low,766,1149,10,12,9192,91,9100,2298,17669,2020-03-16
Enterprise,Canada,Paseo,High,1583,94980,10,125,197875,25723,172151,189960,66242,2020-03-16
Small Business,United States of America,Paseo,Medium,991,123875,10,300,297300,14865,282435,247750,154562,2020-03-16
Midmarket,Canada,Velo,Medium,1262,6310,120,15,18930,1325,17604,12620,157397,2020-03-16
Government,Canada,Montana,Medium,1611,4027,5,7,11277,1014,10262,8055,103434,2020-03-17
Midmarket,Germany,Carretera,High,1513,7565,3,15,22695,3177,19517,15130,15794,2020-03-17
Enterprise,France,Velo,High,663,39780,120,125,82875,12431,70443,79560,33407,2020-03-17
Midmarket,Germany,Velo,Medium,1530,7650,120,15,22950,1377,21573,15300,37178,2020-03-18
Midmarket,Canada,Paseo,High,1614,8070,10,15,24210,3631,20578,16140,37531,2020-03-18
Small Business,Mexico,Velo,High,2605,325625,120,300,781500,101595,679905,651250,240685,2020-03-19
Channel Partners,Mexico,Amarilla,Medium,1375,2062,260,12,16500,1320,15180,4125,238554,2020-03-19
Channel Partners,Mexico,Carretera,Medium,367,550,3,12,4404,396,4007,1101,233031,2020-03-19
Enterprise,United States of America,Paseo,Medium,2992,179520,10,125,374000,18700,355300,359040,124829,2020-03-19
Channel Partners,Germany,Paseo,Medium,1775,2662,10,12,21300,1917,19383,5325,126230,2020-03-19
Midmarket,France,VTT,High,2167,10835,250,15,32505,3250,29254,21670,134646,2020-03-19
Small Business,Mexico,Paseo,Medium,2565,320625,10,300,769500,69255,700245,641250,249627,2020-03-20
Enterprise,Canada,Velo,Low,923,55380,120,125,115375,1153,114221,110760,281240,2020-03-20
Small Business,Germany,Carretera,Low,2021,252625,3,300,606300,24252,582048,505250,465505,2020-03-21
Midmarket,Canada,Paseo,Low,218,1090,10,15,3270,130,3139,2180,233136,2020-03-21
Government,United States of America,Velo,Medium,602,78260,120,350,210700,10535,200165,156520,261784,2020-03-21
Channel Partners,Germany,Amarilla,High,472,708,260,12,5664,623,5040,1416,69448,2020-03-21
Government,Canada,Amarilla,High,2240,291200,260,350,784000,78400,705600,582400,303602,2020-03-22
Small Business,Germany,VTT,Low,986,123250,250,300,295800,2958,292842,246500,334494,2020-03-22
Small Business,Mexico,Amarilla,High,546,68250,260,300,163800,24570,139230,136500,379224,2020-03-22
Government,Germany,VTT,Low,263,657,250,7,1841,18,1822,1315,144631,2020-03-22
Government,United States of America,Carretera,High,2996,7490,3,7,20972,2936,18035,14980,53029,2020-03-23
Channel Partners,Germany,Paseo,Low,766,1149,10,12,9192,91,9100,2298,9652,2020-03-23
Government,Germany,Velo,Medium,1307,169910,120,350,457450,41170,416279,339820,147805,2020-03-23
Government,Canada,Paseo,Medium,257,642,10,7,1799,143,1655,1285,142345,2020-03-23
Government,France,Carretera,Medium,2487,6217,3,7,17409,870,16538,12435,144824,2020-03-24
Government,Mexico,VTT,Low,1642,213460,250,350,574700,17241,557459,426920,191884,2020-03-24
Small Business,France,Paseo,Medium,448,56000,10,300,134400,9408,124992,112000,232996,2020-03-24
Government,Germany,Amarilla,Medium,1159,2897,260,7,8113,405,7707,5795,230053,2020-03-24
Government,Mexico,Carretera,Medium,1834,9170,3,20,36680,2567,34112,18340,55604,2020-03-25
Enterprise,United States of America,Velo,High,2438,146280,120,125,304750,45712,259037,292560,100285,2020-03-25
Channel Partners,Germany,Paseo,Medium,1775,2662,10,12,21300,1917,19383,5325,104177,2020-03-26
Government,France,VTT,Medium,2682,13410,250,20,53640,4827,48812,26820,109077,2020-03-26
Government,Germany,Paseo,High,357,46410,10,350,124950,16243,108706,92820,58967,2020-03-26
Channel Partners,Mexico,Velo,High,604,906,120,12,7248,942,6305,1812,54608,2020-03-26
Government,France,Carretera,Low,2155,280150,3,350,754250,7542,746707,560300,287239,2020-03-26
Government,Canada,Montana,High,200,26000,5,350,70000,9800,60200,52000,271071,2020-03-26
Small Business,United States of America,Montana,Low,2498,312250,5,300,749400,7494,741906,624500,516271,2020-03-27
Government,Mexico,Paseo,Medium,2417,314210,10,350,845950,76135,769814,628420,523973,2020-03-27
Government,Mexico,Paseo,Medium,2993,14965,10,20,59860,4788,55071,29930,522264,2020-03-27
Government,United States of America,Montana,High,2313,300690,5,350,809550,80955,728595,601380,517827,2020-03-27
Channel Partners,Mexico,Paseo,Medium,367,550,10,12,4404,396,4007,1101,262558,2020-03-28
Government,Canada,Montana,Low,2851,7127,5,7,19957,798,19158,14255,250587,2020-03-28
Channel Partners,Canada,VTT,Medium,3244,4866,250,12,38934,2725,36208,9733,19791,2020-03-29
Government,Mexico,VTT,High,2903,7257,250,7,20321,2844,17476,14515,24281,2020-03-29
Channel Partners,United States of America,Carretera,Low,1858,2787,3,12,22296,222,22073,5574,25252,2020-03-29
Midmarket,Germany,Paseo,Low,1945,9725,10,15,29175,875,28299,19450,22616,2020-03-29
Midmarket,Mexico,Montana,Low,2031,10155,5,15,30465,1218,29246,20310,26539,2020-03-29
Enterprise,United States of America,Velo,None,2821,169260,120,125,352625,0,352625,338520,136723,2020-03-29
Small Business,United States of America,VTT,Low,2844,355500,250,300,853200,25596,827604,711000,403158,2020-03-29
Government,United States of America,VTT,High,267,1335,250,20,5340,801,4539,2670,394923,2020-03-30
Enterprise,United States of America,Carretera,Low,330,19800,3,125,41250,412,40837,39600,290993,2020-03-30
Enterprise,Mexico,Velo,Medium,2110,126600,120,125,263750,23737,240012,253200,95129,2020-03-30
Midmarket,United States of America,Paseo,Low,1514,7570,10,15,22710,227,22482,15140,101110,2020-03-31
